蝙蝠*2,"Troops.json,1,name"
史莱姆*2,"Troops.json,2,name"
兽人,"Troops.json,3,name"
牛头怪,"Troops.json,4,name"
次要敌人两人,"Troops.json,6,name"
次要敌人两人2,"Troops.json,7,name"
男人 1,"Troops.json,7,pages,0,list,2,parameters,0"
“嗯？怎么，你做了什么吗？”,"Troops.json,7,pages,0,list,3,parameters,0"
男人2,"Troops.json,7,pages,0,list,5,parameters,0"
“呵呵。,"Troops.json,7,pages,0,list,6,parameters,0"
还是猫的拳头更疼。”,"Troops.json,7,pages,0,list,7,parameters,0"
\C[27] 清彦,"Troops.json,7,pages,0,list,9,parameters,0"
（不，我很努力地想打他，但根本没用。,"Troops.json,7,pages,0,list,11,parameters,0"
相反，我的拳头很痛……）,"Troops.json,7,pages,0,list,12,parameters,0"
男人 1,"Troops.json,7,pages,0,list,14,parameters,0"
“好吧，现在轮到我了。”,"Troops.json,7,pages,0,list,15,parameters,0"
男人 1,"Troops.json,7,pages,0,list,21,parameters,0"
“怎么，你变小了？,"Troops.json,7,pages,0,list,22,parameters,0"
你看，你看……啊？ ”,"Troops.json,7,pages,0,list,23,parameters,0"
男人2,"Troops.json,7,pages,0,list,25,parameters,0"
“放心，我不会伤害你的。”,"Troops.json,7,pages,0,list,26,parameters,0"
\C[27] 清彦,"Troops.json,7,pages,0,list,28,parameters,0"
“嘎……”,"Troops.json,7,pages,0,list,29,parameters,0"
（我该怎么办？一定有什么办法……）”,"Troops.json,7,pages,0,list,30,parameters,0"
男人 1,"Troops.json,7,pages,0,list,36,parameters,0"
「嗯？你，你不会使用攻击魔法吧？」,"Troops.json,7,pages,0,list,37,parameters,0"
男人2,"Troops.json,7,pages,0,list,39,parameters,0"
「也许精灵不能使用攻击魔法。,"Troops.json,7,pages,0,list,40,parameters,0"
呵呵，\C[18]一定是六个月前在\C[0]处逃逸的。”,"Troops.json,7,pages,0,list,41,parameters,0"
\C[27] 清彦,"Troops.json,7,pages,0,list,43,parameters,0"
“嘎……！,"Troops.json,7,pages,0,list,44,parameters,0"
（我不能使用攻击魔法……,"Troops.json,7,pages,0,list,45,parameters,0"
我必须在这里攻击并保护自己！ ）”,"Troops.json,7,pages,0,list,46,parameters,0"
\C[27] 清彦,"Troops.json,7,pages,0,list,48,parameters,0"
（由于某种原因我无法使用攻击魔法。,"Troops.json,7,pages,0,list,49,parameters,0"
出来的只是恢复魔法……！ ）”,"Troops.json,7,pages,0,list,50,parameters,0"
吸血姬清香,"Troops.json,9,name"
\C[27] 清香,"Troops.json,9,pages,0,list,1,parameters,0"
「随便你从哪个角度攻击♪」,"Troops.json,9,pages,0,list,2,parameters,0"
\C[27] 清香,"Troops.json,9,pages,1,list,1,parameters,0"
“呀！”,"Troops.json,9,pages,1,list,2,parameters,0"
有破绽！,"Troops.json,9,pages,1,list,4,parameters,0"
那把剑——银色的武器割破了吸血姬的皮肤！,"Troops.json,9,pages,1,list,5,parameters,0"
尽管它是\!。,"Troops.json,9,pages,1,list,6,parameters,0"
\C[27] 清香,"Troops.json,9,pages,1,list,8,parameters,0"
“停下吧。,"Troops.json,9,pages,1,list,9,parameters,0"
伤害少女的肌肤是不好的♪”,"Troops.json,9,pages,1,list,10,parameters,0"
它根本不起作用。,"Troops.json,9,pages,1,list,12,parameters,0"
\! 我确信用这把剑...我用银质武器割破了她的手臂。,"Troops.json,9,pages,1,list,13,parameters,0"
\C[27] 清香,"Troops.json,9,pages,1,list,15,parameters,0"
「呵呵……♪发生什么事了？,"Troops.json,9,pages,1,list,16,parameters,0"
我还什么都没做呢。”,"Troops.json,9,pages,1,list,17,parameters,0"
此时，男性冒险家才明白为什么吸血鬼不为所动。,"Troops.json,9,pages,1,list,19,parameters,0"
因为银武器不起作用。,"Troops.json,9,pages,1,list,20,parameters,0"
如果是的话，她们到底是怎样的魔物娘……？,"Troops.json,9,pages,1,list,21,parameters,0"
我没有时间思考，我必须做点什么……但我该怎么办？,"Troops.json,9,pages,1,list,22,parameters,0"
\C[27] 清香,"Troops.json,9,pages,1,list,24,parameters,0"
“剑……。,"Troops.json,9,pages,1,list,25,parameters,0"
呵呵♪ 虽然没用过，但是看起来很有趣。,"Troops.json,9,pages,1,list,26,parameters,0"
不管怎样，我也有点。”,"Troops.json,9,pages,1,list,27,parameters,0"
\! 当吸血鬼注入魔力时，它与他使用的剑不同。,"Troops.json,9,pages,1,list,32,parameters,0"
另一把剑出现。,"Troops.json,9,pages,1,list,33,parameters,0"
双手握住它并练习摆动几次。,"Troops.json,9,pages,1,list,34,parameters,0"
这显然不是业余行为。,"Troops.json,9,pages,1,list,36,parameters,0"
绝非新手的摆弄，这是已经娴熟的剑术。,"Troops.json,9,pages,1,list,37,parameters,0"
或许接下来就是刀剑相锋了。,"Troops.json,9,pages,1,list,38,parameters,0"
他能赢吗……？,"Troops.json,9,pages,1,list,39,parameters,0"
\C[27] 清香,"Troops.json,9,pages,1,list,41,parameters,0"
“呵呵。,"Troops.json,9,pages,1,list,42,parameters,0"
你能帮我一点忙吗？ ”,"Troops.json,9,pages,1,list,43,parameters,0"
用双重攻击切开吸血鬼的皮肤，不留任何缝隙！,"Troops.json,9,pages,2,list,1,parameters,0"
有破绽！这是一个很好的响应——尽管它是 \!。,"Troops.json,9,pages,2,list,2,parameters,0"
\C[27] 清香,"Troops.json,9,pages,2,list,4,parameters,0"
“呀！”,"Troops.json,9,pages,2,list,5,parameters,0"
\C[27] 清香,"Troops.json,9,pages,2,list,7,parameters,0"
“停下吧。,"Troops.json,9,pages,2,list,8,parameters,0"
伤害少女的肌肤是不好的♪”,"Troops.json,9,pages,2,list,9,parameters,0"
它根本不起作用。,"Troops.json,9,pages,2,list,11,parameters,0"
\! 确实，用这把剑……我用银质武器割破了她的手臂。,"Troops.json,9,pages,2,list,12,parameters,0"
这种事发生了两次。,"Troops.json,9,pages,2,list,13,parameters,0"
\C[27] 清香,"Troops.json,9,pages,2,list,15,parameters,0"
「呵呵……♪发生什么事了？,"Troops.json,9,pages,2,list,16,parameters,0"
我还什么都没做呢。”,"Troops.json,9,pages,2,list,17,parameters,0"
此时，男性冒险家才明白为什么吸血鬼不为所动。,"Troops.json,9,pages,2,list,19,parameters,0"
因为银武器不起作用。,"Troops.json,9,pages,2,list,20,parameters,0"
如果是的话，她们到底是怎样的魔物娘……？,"Troops.json,9,pages,2,list,21,parameters,0"
我没有时间思考，我必须做点什么……但我该怎么办？,"Troops.json,9,pages,2,list,22,parameters,0"
\C[27] 清香,"Troops.json,9,pages,2,list,24,parameters,0"
“剑……。,"Troops.json,9,pages,2,list,25,parameters,0"
呵呵♪ 虽然没用过，但是看起来很有趣。,"Troops.json,9,pages,2,list,26,parameters,0"
不管怎样，我也有点。”,"Troops.json,9,pages,2,list,27,parameters,0"
\! 当吸血鬼注入魔力时，它与他使用的剑不同。,"Troops.json,9,pages,2,list,32,parameters,0"
另一把剑出现。,"Troops.json,9,pages,2,list,33,parameters,0"
双手握住它并练习摆动几次。,"Troops.json,9,pages,2,list,34,parameters,0"
这显然不是业余行为。,"Troops.json,9,pages,2,list,36,parameters,0"
绝非新手的摆弄，这是已经娴熟的剑术。,"Troops.json,9,pages,2,list,37,parameters,0"
或许接下来就是刀剑相锋了。,"Troops.json,9,pages,2,list,38,parameters,0"
他能赢吗……？,"Troops.json,9,pages,2,list,39,parameters,0"
\C[27] 清香,"Troops.json,9,pages,2,list,41,parameters,0"
“呵呵。,"Troops.json,9,pages,2,list,42,parameters,0"
你能帮我一点忙吗？ ”,"Troops.json,9,pages,2,list,43,parameters,0"
我拔出剑看了看。,"Troops.json,9,pages,3,list,1,parameters,0"
最好不要做得不好。,"Troops.json,9,pages,3,list,2,parameters,0"
看看他刚才的魔法就知道了。,"Troops.json,9,pages,3,list,3,parameters,0"
如果有一两个不咏唱的攻击魔法也没什么奇怪的。,"Troops.json,9,pages,3,list,4,parameters,0"
\C[27] 清香,"Troops.json,9,pages,3,list,6,parameters,0"
“怎么了？不设置的话……”,"Troops.json,9,pages,3,list,7,parameters,0"
嗯，指甲也很好看。,"Troops.json,9,pages,3,list,8,parameters,0"
如果有的话，我想用你的东西来战斗♪”,"Troops.json,9,pages,3,list,9,parameters,0"
\! 当吸血鬼赋予魔力时,"Troops.json,9,pages,3,list,14,parameters,0"
一把与男性冒险者使用的不同的剑出现了。,"Troops.json,9,pages,3,list,15,parameters,0"
双手握住它并练习摆动几次。,"Troops.json,9,pages,3,list,16,parameters,0"
\C[27] 清香,"Troops.json,9,pages,3,list,18,parameters,0"
“剑……。,"Troops.json,9,pages,3,list,19,parameters,0"
呵呵♪虽然没用过，但是看起来很好玩的样子。,"Troops.json,9,pages,3,list,20,parameters,0"
你能帮我做一件事吗？ ”,"Troops.json,9,pages,3,list,21,parameters,0"
这显然不是业余行为。,"Troops.json,9,pages,3,list,23,parameters,0"
如果说这是我第一次，那是骗人的。,"Troops.json,9,pages,3,list,24,parameters,0"
或许接下来就是刀剑相锋了。,"Troops.json,9,pages,3,list,25,parameters,0"
他能赢吗……？,"Troops.json,9,pages,3,list,26,parameters,0"
\C[27] 清香,"Troops.json,9,pages,3,list,28,parameters,0"
“呵呵，我们玩得开心吧。”,"Troops.json,9,pages,3,list,29,parameters,0"
男性冒险家,"Troops.json,9,pages,4,list,2,parameters,0"
“可恶！”,"Troops.json,9,pages,4,list,3,parameters,0"
刀剑交锋，一阵阵金属声响起。,"Troops.json,9,pages,4,list,5,parameters,0"
不知何故，男性冒险家们能够互相妥协。,"Troops.json,9,pages,4,list,6,parameters,0"
然而，他正逐渐落于下风。并不是自己失去了力量。,"Troops.json,9,pages,4,list,7,parameters,0"
男性冒险家,"Troops.json,9,pages,4,list,9,parameters,0"
“呃……\.\.\.呃……”\.\.\.,"Troops.json,9,pages,4,list,10,parameters,0"
汗水从我的身上滴下来，我的呼吸进入我的肩膀。,"Troops.json,9,pages,4,list,12,parameters,0"
但是……吸血鬼甚至没有出汗。,"Troops.json,9,pages,4,list,13,parameters,0"
根据资料,"Troops.json,9,pages,4,list,14,parameters,0"
没有证据表明吸血鬼使用魔法。,"Troops.json,9,pages,4,list,15,parameters,0"
\C[27] 清香,"Troops.json,9,pages,4,list,17,parameters,0"
「呵呵……♪」,"Troops.json,9,pages,4,list,18,parameters,0"
男性冒险家,"Troops.json,9,pages,4,list,20,parameters,0"
“（...我很失望）”,"Troops.json,9,pages,4,list,21,parameters,0"
简直就是被他的剑术打败了。 \!,"Troops.json,9,pages,4,list,23,parameters,0"
那招式显然是熟悉实战之人的招式。,"Troops.json,9,pages,4,list,24,parameters,0"
你这个骗子，以前从来没有处理过什么？,"Troops.json,9,pages,4,list,25,parameters,0"
男性冒险家咂舌道。,"Troops.json,9,pages,4,list,26,parameters,0"
\C[27] 清香,"Troops.json,9,pages,4,list,28,parameters,0"
「真有趣♪没想到剑已经走到了这一步……！」,"Troops.json,9,pages,4,list,29,parameters,0"
对我来说，剑似乎比爪子更合适♡,"Troops.json,9,pages,4,list,30,parameters,0"
最好的部分是我有更多新的东西可以享受。,"Troops.json,9,pages,4,list,32,parameters,0"
\!，但是能力上的损失绝对是一场灾难。,"Troops.json,9,pages,4,list,33,parameters,0"
男性冒险家后退一步，想着逃跑。,"Troops.json,9,pages,4,list,34,parameters,0"
如果能在下一轮攻势中幸存下来并返回入口......,"Troops.json,9,pages,4,list,35,parameters,0"
\C[27] 清香,"Troops.json,9,pages,4,list,37,parameters,0"
“那……我要认真了！”,"Troops.json,9,pages,4,list,38,parameters,0"
认真...？那么，到目前为止她到底发挥了几分水平？,"Troops.json,9,pages,5,list,1,parameters,0"
\!冷静，保持冷静。,"Troops.json,9,pages,5,list,2,parameters,0"
这是他认输逃跑的场景。,"Troops.json,9,pages,5,list,3,parameters,0"
所以如果你一点点后退......,"Troops.json,9,pages,5,list,4,parameters,0"
\C[27] 清香,"Troops.json,9,pages,5,list,6,parameters,0"
「要上喽♪」,"Troops.json,9,pages,5,list,7,parameters,0"
 - 快速地！ \!比以前更加明显。,"Troops.json,9,pages,5,list,11,parameters,0"
虽然勉强阻止，但以这样的速度……！,"Troops.json,9,pages,5,list,12,parameters,0"
\! 男性冒险家表情颤抖。 \!就是那一刻。,"Troops.json,9,pages,5,list,13,parameters,0"
男性冒险家,"Troops.json,9,pages,5,list,17,parameters,0"
「啊啊！（志摩……！,"Troops.json,9,pages,5,list,18,parameters,0"
\C[27] 清香,"Troops.json,9,pages,5,list,21,parameters,0"
「我明白了♪上吧！,"Troops.json,9,pages,5,list,22,parameters,0"
尽你所能去阻止它！ ”,"Troops.json,9,pages,5,list,23,parameters,0"
爱娜温,"Troops.json,11,name"
爱娜温,"Troops.json,11,pages,0,list,1,parameters,0"
「呼呼呼……♪,"Troops.json,11,pages,0,list,2,parameters,0"
人类，找到你了♡”,"Troops.json,11,pages,0,list,3,parameters,0"
清彦,"Troops.json,11,pages,1,list,3,parameters,0"
爱娜温,"Troops.json,11,pages,1,list,6,parameters,0"
“很受欢迎♡很受欢迎♡”,"Troops.json,11,pages,1,list,7,parameters,0"
一个坚硬的物体击中了他的头部，让他的大脑受到了震动。,"Troops.json,11,pages,1,list,9,parameters,0"
虽然脸色扭曲，但他很快就恢复了姿势，举起了剑。,"Troops.json,11,pages,1,list,10,parameters,0"
也许这一击打得不错，但并没有导致死亡。,"Troops.json,11,pages,1,list,11,parameters,0"
\!下一刻发生了。,"Troops.json,11,pages,1,list,12,parameters,0"
清彦,"Troops.json,11,pages,1,list,16,parameters,0"
「嘎……！？」,"Troops.json,11,pages,1,list,17,parameters,0"
我的视野开始动摇。,"Troops.json,11,pages,1,list,19,parameters,0"
\! 头...不，我的头骨里面很痛。,"Troops.json,11,pages,1,list,20,parameters,0"
但这种情况很快就会平息。,"Troops.json,11,pages,1,list,21,parameters,0"
爱娜温,"Troops.json,11,pages,1,list,23,parameters,0"
「飞起来了♪飞起来了♪花啊♪」,"Troops.json,11,pages,1,list,24,parameters,0"
清彦,"Troops.json,11,pages,1,list,26,parameters,0"
「（……这个魔物娘在说什么？）」,"Troops.json,11,pages,1,list,27,parameters,0"
清彦再次握紧了剑。,"Troops.json,11,pages,1,list,29,parameters,0"
无论如何，我现在必须摆脱这种局面。,"Troops.json,11,pages,1,list,30,parameters,0"
爱娜温女王,"Troops.json,12,name"
卫兵,"Troops.json,14,name"
警卫,"Troops.json,14,pages,0,list,1,parameters,0"
“来吧！\!,"Troops.json,14,pages,0,list,2,parameters,0"
我在这里……如果他生气了，我应该用这个吗？”,"Troops.json,14,pages,0,list,3,parameters,0"
\C[27] 清彦,"Troops.json,14,pages,0,list,5,parameters,0"
“（我不知道他们要做什么，但我会坚持到底！）”,"Troops.json,14,pages,0,list,6,parameters,0"
\C[27] 清彦,"Troops.json,14,pages,1,list,2,parameters,0"
“芬雅……”,"Troops.json,14,pages,1,list,3,parameters,0"
一股甜甜的气味让我鼻子发痒。,"Troops.json,14,pages,1,list,5,parameters,0"
\! 那一刻，我全身失去了力气。,"Troops.json,14,pages,1,list,6,parameters,0"
像章鱼一样左右摇摆身体的同时，,"Troops.json,14,pages,1,list,7,parameters,0"
平坦的。我坐在地上，双腿呈“H”形。,"Troops.json,14,pages,1,list,8,parameters,0"
自然，\C[27] 女孩坐在 \C[0] 处。,"Troops.json,14,pages,1,list,10,parameters,0"
将你的大手放在大腿之间,"Troops.json,14,pages,1,list,11,parameters,0"
\C[27] 乌雅~乌雅~。 \C[0]，他咆哮出无法用语言表达的话语。,"Troops.json,14,pages,1,list,12,parameters,0"
\C[27] 尽管我没有力气，但我的小腹却很痛。 \!\C[18],"Troops.json,14,pages,1,list,14,parameters,0"
我的身体很热。 \! 我想让你安慰我...！,"Troops.json,14,pages,1,list,15,parameters,0"
\C[27] 清彦,"Troops.json,14,pages,1,list,17,parameters,0"
「呐呐……♡」,"Troops.json,14,pages,1,list,18,parameters,0"
植物,"Troops.json,16,name"
\C[27] 清彦,"Troops.json,16,pages,0,list,4,parameters,0"
“哇！？”,"Troops.json,16,pages,0,list,5,parameters,0"
他确实是用火系魔法攻击的！ ？,"Troops.json,16,pages,0,list,8,parameters,0"
看起来像是受伤了，但并没有死。,"Troops.json,16,pages,0,list,9,parameters,0"
移动的藤蔓瞬间束缚了双手双脚。,"Troops.json,16,pages,0,list,14,parameters,0"
他以前从未经历过或见过这种事件,"Troops.json,16,pages,0,list,15,parameters,0"
转眼间，当他睁大眼睛的时候,"Troops.json,16,pages,0,list,16,parameters,0"
他的整个身体就被藤蔓束缚，举了起来,"Troops.json,16,pages,0,list,17,parameters,0"
\C[27] 清彦,"Troops.json,16,pages,0,list,29,parameters,0"
「嘎……！可恶！」,"Troops.json,16,pages,0,list,30,parameters,0"
这不好...！ ”,"Troops.json,16,pages,0,list,31,parameters,0"
藤蔓搜遍了她的每一寸。,"Troops.json,16,pages,0,list,33,parameters,0"
但是……那件“皮衣”也处于同样的状态，正好保护了身体。,"Troops.json,16,pages,0,list,34,parameters,0"
没有感到特别痛苦或快乐。,"Troops.json,16,pages,0,list,35,parameters,0"
紧的。紧的。我感觉我的整个身体都被压缩了。,"Troops.json,16,pages,0,list,37,parameters,0"
我感觉自己在很多方面都受到了干扰。,"Troops.json,16,pages,0,list,38,parameters,0"
这株植物到底想做什么？,"Troops.json,16,pages,0,list,39,parameters,0"
\C[27] 清彦,"Troops.json,16,pages,0,list,42,parameters,0"
“冷静点，你只是被束缚了。,"Troops.json,16,pages,0,list,43,parameters,0"
再次用火魔法燃烧本体！ ”,"Troops.json,16,pages,0,list,44,parameters,0"
\C[27] 清彦,"Troops.json,16,pages,0,list,48,parameters,0"
“冷静点，你只是被束缚了。,"Troops.json,16,pages,0,list,49,parameters,0"
用火魔法燃烧身体！ ”,"Troops.json,16,pages,0,list,50,parameters,0"
\C[27] 清彦,"Troops.json,16,pages,0,list,57,parameters,0"
“火系魔法！”,"Troops.json,16,pages,0,list,58,parameters,0"
植物,"Troops.json,17,name"
\C[27] 清彦,"Troops.json,17,pages,0,list,4,parameters,0"
“妈的……！该死的，又来了！”,"Troops.json,17,pages,0,list,5,parameters,0"
不是一次，甚至两次。,"Troops.json,17,pages,0,list,7,parameters,0"
他三度被束缚，一道道名为藤蔓的藤蔓向他的身体逼近。,"Troops.json,17,pages,0,list,8,parameters,0"
左手，右手，左脚，右脚。,"Troops.json,17,pages,0,list,9,parameters,0"
此外，它们还会侵入您的耳朵、尾巴和其他部位。,"Troops.json,17,pages,0,list,10,parameters,0"
\C[27] 清彦,"Troops.json,17,pages,0,list,12,parameters,0"
「没关系。如果像以前那样用火魔法烧掉的话……」,"Troops.json,17,pages,0,list,13,parameters,0"
\C[27] 清彦,"Troops.json,17,pages,0,list,17,parameters,0"
“咕叽！？”,"Troops.json,17,pages,0,list,18,parameters,0"
甜蜜的麻木。,"Troops.json,17,pages,0,list,20,parameters,0"
我早些时候被捕时并没有发生这种情况。,"Troops.json,17,pages,0,list,21,parameters,0"
强烈的麻木感尤其来自耳朵和尾巴。,"Troops.json,17,pages,0,list,22,parameters,0"
这不是痛苦，这种麻木带来的是……\.\. 快乐。,"Troops.json,17,pages,0,list,23,parameters,0"
\C[27] 清彦,"Troops.json,17,pages,0,list,34,parameters,0"
“嗯……♡你摸哪里呢……♡,"Troops.json,17,pages,0,list,35,parameters,0"
\.\. 库夫。 \.\.\. 该死的，该死的......！ \.\.\.,"Troops.json,17,pages,0,list,36,parameters,0"
冷静，冷静。 \.\. 冷静，\.\.\.！ ”,"Troops.json,17,pages,0,list,37,parameters,0"
我一边皱着眉头，一边努力集中注意力。,"Troops.json,17,pages,0,list,39,parameters,0"
即使我必须忍住疼痛,"Troops.json,17,pages,0,list,40,parameters,0"
在我的冒险过程中，我几乎从不需要抑制快乐。,"Troops.json,17,pages,0,list,41,parameters,0"
但还可以忍受。我可以集中注意力。勉强……不知何故！,"Troops.json,17,pages,0,list,42,parameters,0"
\C[27] 清彦,"Troops.json,17,pages,0,list,47,parameters,0"
“放开我……\.\.\.哦！”,"Troops.json,17,pages,0,list,48,parameters,0"
\C[27] 清彦,"Troops.json,17,pages,0,list,55,parameters,0"
“哇！？”,"Troops.json,17,pages,0,list,56,parameters,0"
移动的藤蔓瞬间束缚了双手双脚。,"Troops.json,17,pages,0,list,58,parameters,0"
他以前从未经历过或见过这种事件,"Troops.json,17,pages,0,list,59,parameters,0"
转眼间，当他睁大眼睛的时候,"Troops.json,17,pages,0,list,60,parameters,0"
他的整个身体就被藤蔓束缚，举了起来,"Troops.json,17,pages,0,list,61,parameters,0"
\C[27] 清彦,"Troops.json,17,pages,0,list,63,parameters,0"
「嘎……！糟糕！这是……！」,"Troops.json,17,pages,0,list,64,parameters,0"
有什么东西侵入了我的手、脚和头顶的耳朵。,"Troops.json,17,pages,0,list,66,parameters,0"
尾巴也被藤蔓缠住了。,"Troops.json,17,pages,0,list,67,parameters,0"
有证据表明神经传递到耳朵和尾巴。,"Troops.json,17,pages,0,list,68,parameters,0"
\C[27] 清彦,"Troops.json,17,pages,0,list,72,parameters,0"
“咕叽！？”,"Troops.json,17,pages,0,list,73,parameters,0"
甜蜜的麻木。,"Troops.json,17,pages,0,list,75,parameters,0"
强烈的麻木感尤其来自耳朵和尾巴。,"Troops.json,17,pages,0,list,76,parameters,0"
这不是痛苦，这种麻木带来的是……\.\. 快乐。,"Troops.json,17,pages,0,list,77,parameters,0"
\C[27] 清彦,"Troops.json,17,pages,0,list,88,parameters,0"
“嗯……♡你摸哪里呢……♡,"Troops.json,17,pages,0,list,89,parameters,0"
\.\. 库夫。 \.\.\. 该死的，该死的......！ \.\.\.,"Troops.json,17,pages,0,list,90,parameters,0"
